EndDate,Net,StartDateTime,EndDateTime,Year,Effort_NetHrs,Station
2001-07-21,218E,2001-07-20T15:45:00Z,2001-07-21T20:15:00Z,2001,28.5,218
2001-07-21,218W,2001-07-20T16:00:00Z,2001-07-21T20:30:00Z,2001,28.5,218
2001-07-21,220E,2001-07-20T18:00:00Z,2001-07-21T21:30:00Z,2001,27.5,220
2001-07-21,220W,2001-07-20T18:00:00Z,2001-07-21T21:55:00Z,2001,27.916666666666668,220
2001-07-21,230N,2001-07-20T18:56:00Z,2001-07-21T16:45:00Z,2001,21.816666666666666,230
2001-07-21,230S,2001-07-20T19:10:00Z,2001-07-21T16:45:00Z,2001,21.583333333333332,230
2001-07-21,231N,2001-07-20T19:31:00Z,2001-07-21T16:08:00Z,2001,20.616666666666667,231
2001-07-21,231S,2001-07-20T19:44:00Z,2001-07-21T16:20:00Z,2001,20.6,231
2001-07-22,218E,2001-07-21T20:15:00Z,2001-07-22T17:00:00Z,2001,20.75,218
2001-07-22,218W,2001-07-21T20:30:00Z,2001-07-22T17:07:00Z,2001,20.616666666666667,218
2001-07-22,220E,2001-07-21T21:30:00Z,2001-07-22T15:49:00Z,2001,18.316666666666666,220
2001-07-22,220W,2001-07-21T21:55:00Z,2001-07-22T16:05:00Z,2001,18.166666666666668,220
2001-07-22,230N,2001-07-21T16:45:00Z,2001-07-22T18:09:00Z,2001,25.4,230
2001-07-22,230S,2001-07-21T17:00:00Z,2001-07-22T18:25:00Z,2001,25.416666666666668,230
2001-07-22,231N,2001-07-21T16:05:00Z,2001-07-22T19:17:00Z,2001,27.2,231
2001-07-22,231S,2001-07-21T16:20:00Z,2001-07-22T19:27:00Z,2001,27.116666666666667,231
2001-07-23,218E,2001-07-22T17:00:00Z,2001-07-23T15:30:00Z,2001,22.5,218
2001-07-23,218W,2001-07-22T17:07:00Z,2001-07-23T15:50:00Z,2001,22.716666666666665,218
2001-07-23,220E,2001-07-22T15:49:00Z,2001-07-23T16:43:00Z,2001,24.9,220
2001-07-23,220W,2001-07-22T16:05:00Z,2001-07-23T16:55:00Z,2001,24.833333333333332,220
2001-07-23,230N,2001-07-22T18:09:00Z,2001-07-23T18:34:00Z,2001,24.416666666666668,230
2001-07-23,230S,2001-07-22T18:25:00Z,2001-07-23T18:51:00Z,2001,24.433333333333334,230
2001-07-23,231N,2001-07-22T18:25:00Z,2001-07-23T19:21:00Z,2001,24.933333333333334,231
2001-07-23,231S,2001-07-22T19:17:00Z,2001-07-23T19:40:00Z,2001,24.383333333333333,231
2001-07-24,218E,2001-07-23T15:30:00Z,2001-07-24T15:38:00Z,2001,24.133333333333333,218
2001-07-24,218W,2001-07-23T15:50:00Z,2001-07-24T16:05:00Z,2001,24.25,218
2001-07-24,220E,2001-07-23T16:43:00Z,2001-07-24T17:00:00Z,2001,24.283333333333335,220
2001-07-24,220W,2001-07-23T16:55:00Z,2001-07-24T17:13:00Z,2001,24.3,220
2001-07-24,230N,2001-07-23T18:34:00Z,2001-07-24T19:00:00Z,2001,24.433333333333334,230
2001-07-24,230S,2001-07-23T18:51:00Z,2001-07-24T19:15:00Z,2001,24.4,230
2001-07-24,231N,2001-07-23T19:21:00Z,2001-07-24T19:53:00Z,2001,24.533333333333335,231
2001-07-24,231S,2001-07-23T19:40:00Z,2001-07-24T20:10:00Z,2001,24.5,231
2001-07-25,218E,2001-07-24T15:38:00Z,2001-07-25T15:35:00Z,2001,23.95,218
2001-07-25,218W,2001-07-24T16:05:00Z,2001-07-25T15:50:00Z,2001,23.75,218
2001-07-25,220E,2001-07-24T17:00:00Z,2001-07-25T16:45:00Z,2001,23.75,220
2001-07-25,220W,2001-07-24T17:13:00Z,2001-07-25T17:02:00Z,2001,23.816666666666666,220
2001-07-25,230N,2001-07-24T19:00:00Z,2001-07-25T18:30:00Z,2001,23.5,230
2001-07-25,230S,2001-07-24T19:15:00Z,2001-07-25T18:48:00Z,2001,23.55,230
2001-07-25,231N,2001-07-24T19:53:00Z,2001-07-25T19:50:00Z,2001,23.95,231
2001-07-25,231S,2001-07-24T20:10:00Z,2001-07-25T20:10:00Z,2001,24,231
2001-07-26,218E,2001-07-25T15:35:00Z,2001-07-26T15:36:00Z,2001,24.016666666666666,218
2001-07-26,218W,2001-07-25T15:50:00Z,2001-07-26T16:01:00Z,2001,24.183333333333334,218
2001-07-26,220E,2001-07-25T16:45:00Z,2001-07-26T16:52:00Z,2001,24.116666666666667,220
2001-07-26,220W,2001-07-25T17:02:00Z,2001-07-26T17:13:00Z,2001,24.183333333333334,220
2001-07-26,230N,2001-07-25T18:30:00Z,2001-07-26T21:42:00Z,2001,27.2,230
2001-07-26,230S,2001-07-25T18:48:00Z,2001-07-26T22:05:00Z,2001,27.283333333333335,230
2001-07-26,231N,2001-07-25T19:50:00Z,2001-07-26T18:20:00Z,2001,22.5,231
2001-07-26,231S,2001-07-25T20:10:00Z,2001-07-26T18:45:00Z,2001,22.583333333333332,231
2001-07-27,218E,2001-07-26T15:36:00Z,2001-07-27T22:45:00Z,2001,31.15,218
2001-07-27,218W,2001-07-26T16:01:00Z,2001-07-27T23:09:00Z,2001,31.133333333333333,218
2001-07-27,220E,2001-07-26T16:52:00Z,2001-07-27T21:40:00Z,2001,28.8,220
2001-07-27,220W,2001-07-26T17:13:00Z,2001-07-27T22:02:00Z,2001,28.816666666666666,220
2001-07-27,230N,2001-07-26T21:42:00Z,2001-07-27T15:50:00Z,2001,18.133333333333333,230
2001-07-27,230S,2001-07-26T22:05:00Z,2001-07-27T15:35:00Z,2001,17.5,230
2001-07-27,231N,2001-07-26T18:20:00Z,2001-07-27T16:11:00Z,2001,21.85,231
2001-07-27,231S,2001-07-26T18:45:00Z,2001-07-27T16:21:00Z,2001,21.6,231
2001-07-28,218E,2001-07-27T22:45:00Z,2001-07-28T21:20:00Z,2001,22.583333333333332,218
2001-07-28,218W,2001-07-27T23:09:00Z,2001-07-28T21:42:00Z,2001,22.55,218
2001-07-28,220E,2001-07-27T21:40:00Z,2001-07-28T22:45:00Z,2001,25.083333333333332,220
2001-07-28,220W,2001-07-27T22:02:00Z,2001-07-28T22:58:00Z,2001,24.933333333333334,220
2001-07-28,230N,2001-07-27T15:50:00Z,2001-07-28T16:42:00Z,2001,24.866666666666667,230
2001-07-28,230S,2001-07-27T15:35:00Z,2001-07-28T17:04:00Z,2001,25.483333333333334,230
2001-07-28,231N,2001-07-27T16:11:00Z,2001-07-28T18:30:00Z,2001,26.316666666666666,231
2001-07-28,231S,2001-07-27T16:21:00Z,2001-07-28T18:46:00Z,2001,26.416666666666668,231
2001-07-29,218E,2001-07-28T21:20:00Z,2001-07-29T22:01:00Z,2001,24.683333333333334,218
2001-07-29,218W,2001-07-28T21:47:00Z,2001-07-29T22:16:00Z,2001,24.483333333333334,218
2001-07-29,220E,2001-07-28T22:45:00Z,2001-07-29T23:08:00Z,2001,24.383333333333333,220
2001-07-29,220W,2001-07-28T22:58:00Z,2001-07-29T23:22:00Z,2001,24.4,220
2001-07-29,230N,2001-07-28T16:42:00Z,2001-07-29T16:35:00Z,2001,23.883333333333333,230
2001-07-29,230S,2001-07-28T17:04:00Z,2001-07-29T17:15:00Z,2001,24.183333333333334,230
2001-07-29,231N,2001-07-28T18:30:00Z,2001-07-29T18:08:00Z,2001,23.633333333333333,231
2001-07-29,231S,2001-07-28T18:46:00Z,2001-07-29T18:34:00Z,2001,23.8,231
2001-07-30,218E,2001-07-29T22:01:00Z,2001-07-30T15:56:00Z,2001,17.916666666666668,218
2001-07-30,218W,2001-07-29T22:16:00Z,2001-07-30T16:03:00Z,2001,17.783333333333335,218
2001-07-30,220E,2001-07-29T23:08:00Z,2001-07-30T16:46:00Z,2001,17.633333333333333,220
2001-07-30,220W,2001-07-29T23:22:00Z,2001-07-30T17:05:00Z,2001,17.716666666666665,220
2001-07-30,230N,2001-07-29T16:35:00Z,2001-07-30T18:21:00Z,2001,25.766666666666666,230
2001-07-30,230S,2001-07-29T17:15:00Z,2001-07-30T18:40:00Z,2001,25.416666666666668,230
2001-07-30,231N,2001-07-29T18:08:00Z,2001-07-30T22:31:00Z,2001,28.383333333333333,231
2001-07-30,231S,2001-07-29T18:34:00Z,2001-07-30T22:46:00Z,2001,28.2,231
2001-07-31,218E,2001-07-30T15:56:00Z,2001-07-31T15:43:00Z,2001,23.783333333333335,218
2001-07-31,218W,2001-07-30T16:03:00Z,2001-07-31T15:57:00Z,2001,23.9,218
2001-07-31,220E,2001-07-30T16:46:00Z,2001-07-31T16:30:00Z,2001,23.733333333333334,220
2001-07-31,220W,2001-07-30T17:05:00Z,2001-07-31T16:45:00Z,2001,23.666666666666668,220
2001-07-31,230N,2001-07-30T18:21:00Z,2001-07-31T17:50:00Z,2001,23.483333333333334,230
2001-07-31,230S,2001-07-30T18:40:00Z,2001-07-31T18:02:00Z,2001,23.366666666666667,230
